epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,4534.08,0.823,0.62525,1.03258,0.87682,0.7191,0.78723,0.60194,0.72305,0.49982,0.8946,0.000320068,0.000320068,0.000320068
104,4578.38,0.82293,0.62,1.02985,0.9346,0.69991,0.79103,0.6104,0.69111,0.49846,0.89074,0.000313402,0.000313402,0.000313402
105,4622.53,0.80853,0.61388,1.02135,0.89939,0.71544,0.78345,0.60418,0.69154,0.5145,0.8965,0.000306736,0.000306736,0.000306736
106,4666.52,0.80969,0.61529,1.02387,0.9265,0.69345,0.79129,0.60801,0.71493,0.51129,0.89669,0.00030007,0.00030007,0.00030007
107,4710.72,0.80387,0.60636,1.01817,0.89296,0.72794,0.79873,0.62032,0.67704,0.49002,0.89265,0.000293404,0.000293404,0.000293404
108,4754.94,0.80694,0.60043,1.02184,0.91434,0.70321,0.79598,0.61516,0.67478,0.48987,0.89719,0.000286738,0.000286738,0.000286738
109,4799.25,0.80796,0.60228,1.02107,0.9543,0.69143,0.79378,0.62495,0.66256,0.47722,0.89212,0.000280072,0.000280072,0.000280072
110,4843.16,0.80342,0.59665,1.02243,0.88906,0.73569,0.79487,0.6129,0.69089,0.48025,0.89361,0.000273406,0.000273406,0.000273406
111,4887.27,0.8213,0.61057,1.02729,0.88295,0.72766,0.79187,0.62359,0.64533,0.47863,0.89132,0.00026674,0.00026674,0.00026674
112,4931.25,0.7979,0.59434,1.01941,0.91022,0.70627,0.78976,0.6188,0.66562,0.48948,0.88974,0.000260074,0.000260074,0.000260074
113,4975.21,0.79293,0.59903,1.01784,0.91378,0.70649,0.78466,0.61028,0.71592,0.49481,0.90497,0.000253408,0.000253408,0.000253408
114,5019.2,0.77045,0.57432,1.00277,0.88468,0.71318,0.79032,0.62095,0.66684,0.48789,0.89896,0.000246742,0.000246742,0.000246742
115,5063.14,0.78444,0.58788,1.01808,0.8974,0.71861,0.79141,0.62549,0.65914,0.47759,0.89807,0.000240076,0.000240076,0.000240076
116,5106.96,0.80149,0.60656,1.01417,0.91229,0.7076,0.79668,0.63131,0.63643,0.47452,0.88565,0.00023341,0.00023341,0.00023341
117,5151.04,0.78091,0.58499,1.0116,0.88702,0.7357,0.79654,0.62155,0.67881,0.48038,0.89279,0.000226744,0.000226744,0.000226744
118,5194.83,0.77902,0.58394,1.01993,0.89156,0.73643,0.79584,0.62555,0.6388,0.46929,0.88999,0.000220078,0.000220078,0.000220078
119,5239.09,0.77767,0.57881,1.01044,0.90541,0.72629,0.80248,0.62898,0.67064,0.46125,0.89279,0.000213412,0.000213412,0.000213412
120,5283.22,0.78295,0.5891,1.00702,0.91993,0.72007,0.80025,0.62966,0.66136,0.45295,0.89508,0.000206746,0.000206746,0.000206746
121,5327.27,0.76264,0.56742,1.00029,0.89814,0.72662,0.79959,0.62952,0.65335,0.45487,0.88594,0.00020008,0.00020008,0.00020008
122,5371.43,0.75548,0.56197,1.00223,0.91605,0.71061,0.80167,0.6316,0.64408,0.46276,0.88325,0.000193414,0.000193414,0.000193414
123,5415.34,0.76101,0.5778,1.0032,0.90973,0.72809,0.80714,0.63145,0.65581,0.46768,0.88319,0.000186748,0.000186748,0.000186748
124,5459.21,0.75127,0.55355,0.99277,0.91211,0.71899,0.80689,0.62397,0.68141,0.4596,0.88162,0.000180082,0.000180082,0.000180082
125,5503.55,0.73828,0.5406,0.9834,0.92611,0.71223,0.80574,0.63537,0.65446,0.46526,0.87893,0.000173416,0.000173416,0.000173416
126,5547.58,0.76752,0.56732,1.00272,0.89302,0.73017,0.80709,0.62763,0.67577,0.45831,0.88087,0.00016675,0.00016675,0.00016675
127,5591.56,0.74269,0.54576,0.98858,0.88968,0.74156,0.80848,0.6307,0.67598,0.46237,0.88236,0.000160084,0.000160084,0.000160084
128,5635.68,0.75413,0.55883,0.99568,0.89287,0.73124,0.8014,0.62569,0.66645,0.45731,0.88066,0.000153418,0.000153418,0.000153418
129,5679.82,0.7549,0.55603,0.99339,0.91051,0.72784,0.7997,0.62932,0.65368,0.46162,0.88196,0.000146752,0.000146752,0.000146752
130,5723.92,0.74721,0.54506,0.99298,0.89823,0.73187,0.80509,0.63368,0.64559,0.45916,0.87903,0.000140086,0.000140086,0.000140086
131,5768.08,0.74368,0.54969,0.99158,0.92561,0.70842,0.7972,0.63041,0.65905,0.46893,0.87835,0.00013342,0.00013342,0.00013342
132,5812.08,0.73565,0.54558,0.98751,0.91747,0.71515,0.79593,0.63481,0.65016,0.46317,0.87825,0.000126754,0.000126754,0.000126754
133,5856.28,0.72265,0.52804,0.98268,0.92759,0.71195,0.79888,0.63892,0.62586,0.45538,0.86956,0.000120088,0.000120088,0.000120088
134,5900.52,0.71603,0.52242,0.9842,0.9243,0.72919,0.80578,0.63778,0.64896,0.4518,0.8746,0.000113422,0.000113422,0.000113422
135,5944.58,0.72793,0.53584,0.98341,0.90605,0.72322,0.8,0.63472,0.62989,0.44429,0.87285,0.000106756,0.000106756,0.000106756
136,5988.78,0.72181,0.5271,0.98493,0.92788,0.72491,0.80496,0.64544,0.61079,0.44006,0.87062,0.00010009,0.00010009,0.00010009
137,6032.75,0.74046,0.54817,0.9979,0.91599,0.7261,0.80706,0.63948,0.63642,0.44245,0.87588,9.3424e-05,9.3424e-05,9.3424e-05
138,6076.93,0.71972,0.53077,0.98149,0.93262,0.69957,0.80016,0.63938,0.62452,0.45167,0.8697,8.6758e-05,8.6758e-05,8.6758e-05
139,6121.27,0.729,0.52781,0.98866,0.90544,0.72995,0.80724,0.64158,0.62691,0.44664,0.87186,8.0092e-05,8.0092e-05,8.0092e-05
140,6165.17,0.70908,0.51613,0.97793,0.91252,0.72832,0.80835,0.64195,0.62675,0.4438,0.87134,7.3426e-05,7.3426e-05,7.3426e-05
141,6215.9,0.53875,0.37579,0.86641,0.89908,0.72369,0.78831,0.62209,0.67019,0.46751,0.89225,6.676e-05,6.676e-05,6.676e-05
142,6259.28,0.52627,0.3604,0.86078,0.95221,0.6941,0.79036,0.62873,0.64436,0.46426,0.88709,6.0094e-05,6.0094e-05,6.0094e-05
143,6302.65,0.5232,0.35509,0.86077,0.92854,0.69773,0.79177,0.62892,0.64165,0.45788,0.87791,5.3428e-05,5.3428e-05,5.3428e-05
144,6345.91,0.51823,0.34831,0.85913,0.93088,0.69833,0.79512,0.63371,0.64137,0.45907,0.88046,4.6762e-05,4.6762e-05,4.6762e-05
145,6388.99,0.51589,0.34999,0.85892,0.94011,0.69295,0.79552,0.62828,0.64939,0.45962,0.87985,4.0096e-05,4.0096e-05,4.0096e-05
146,6431.96,0.52081,0.34329,0.85753,0.91689,0.70757,0.79665,0.63173,0.64421,0.45436,0.88005,3.343e-05,3.343e-05,3.343e-05
147,6475.36,0.51409,0.34324,0.85501,0.9192,0.70583,0.79724,0.63621,0.62312,0.44944,0.87517,2.6764e-05,2.6764e-05,2.6764e-05
148,6518.45,0.51248,0.34091,0.85454,0.93423,0.69945,0.79692,0.6353,0.63177,0.44996,0.87735,2.0098e-05,2.0098e-05,2.0098e-05
149,6561.75,0.51072,0.34576,0.86281,0.92832,0.70753,0.79828,0.63383,0.65271,0.4492,0.87891,1.3432e-05,1.3432e-05,1.3432e-05
150,6604.81,0.50405,0.33451,0.85331,0.92742,0.70682,0.79916,0.63457,0.64939,0.44942,0.87842,6.766e-06,6.766e-06,6.766e-06
