epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2290.98,0.99674,0.81035,1.09175,0.85087,0.67549,0.74157,0.51706,0.9763,0.66504,0.97264,0.000513382,0.000513382,0.000513382
75,2320.87,0.9907,0.80195,1.08654,0.9102,0.65231,0.74518,0.52482,0.88578,0.63447,0.95381,0.000506716,0.000506716,0.000506716
76,2351.51,1.00421,0.80719,1.09188,0.89203,0.6632,0.74322,0.5366,0.79554,0.63406,0.93214,0.00050005,0.00050005,0.00050005
77,2382.1,0.96143,0.78083,1.07307,0.84218,0.68437,0.74948,0.52582,0.88359,0.62838,0.95251,0.000493384,0.000493384,0.000493384
78,2412.64,0.9862,0.79704,1.08274,0.86205,0.64353,0.71683,0.53419,0.80918,0.64279,0.94046,0.000486718,0.000486718,0.000486718
79,2442.11,0.97116,0.79328,1.08293,0.85139,0.66756,0.73681,0.53343,0.86604,0.63601,0.94835,0.000480052,0.000480052,0.000480052
80,2472.24,0.96059,0.78064,1.07027,0.88913,0.66015,0.74702,0.54015,0.81393,0.61903,0.93503,0.000473386,0.000473386,0.000473386
81,2502.52,0.9634,0.77851,1.06402,0.88813,0.65647,0.74443,0.5506,0.79887,0.61205,0.92586,0.00046672,0.00046672,0.00046672
82,2532.87,0.95065,0.76233,1.0639,0.85973,0.66707,0.748,0.54634,0.83546,0.62414,0.94438,0.000460054,0.000460054,0.000460054
83,2562.66,0.95805,0.77735,1.07246,0.86396,0.66125,0.73346,0.53983,0.80179,0.6109,0.93282,0.000453388,0.000453388,0.000453388
84,2592.59,0.96628,0.78627,1.07273,0.80152,0.66877,0.72973,0.53768,0.81024,0.64668,0.92813,0.000446722,0.000446722,0.000446722
85,2623.56,0.93262,0.75659,1.06281,0.84938,0.65868,0.73606,0.54346,0.78489,0.62669,0.92663,0.000440056,0.000440056,0.000440056
86,2653.93,0.97013,0.77614,1.07055,0.90513,0.65978,0.74777,0.54232,0.84268,0.62981,0.93949,0.00043339,0.00043339,0.00043339
87,2683.56,0.95106,0.76548,1.06967,0.88119,0.63991,0.7287,0.53694,0.81927,0.61575,0.9381,0.000426724,0.000426724,0.000426724
88,2714.16,0.9526,0.76533,1.07241,0.90049,0.64974,0.74125,0.54398,0.82119,0.61274,0.92996,0.000420058,0.000420058,0.000420058
89,2744.95,0.93994,0.7373,1.05748,0.85913,0.65956,0.73644,0.54755,0.75323,0.60873,0.91285,0.000413392,0.000413392,0.000413392
90,2774.56,0.94946,0.75287,1.05979,0.85128,0.6616,0.73548,0.54991,0.75409,0.62637,0.9198,0.000406726,0.000406726,0.000406726
91,2804.78,0.94078,0.75915,1.0665,0.88363,0.66889,0.74788,0.55701,0.7733,0.60277,0.9113,0.00040006,0.00040006,0.00040006
92,2835.38,0.92765,0.73627,1.05834,0.88656,0.66097,0.74515,0.55349,0.75504,0.60873,0.92357,0.000393394,0.000393394,0.000393394
93,2866.34,0.92919,0.73579,1.05831,0.89115,0.65389,0.74922,0.5474,0.81156,0.60567,0.92636,0.000386728,0.000386728,0.000386728
94,2896.25,0.93321,0.75402,1.05519,0.91637,0.64443,0.73817,0.56307,0.75562,0.59075,0.91224,0.000380062,0.000380062,0.000380062
95,2926.59,0.91988,0.7434,1.05214,0.84386,0.67217,0.74061,0.55206,0.76603,0.60302,0.92141,0.000373396,0.000373396,0.000373396
96,2957.09,0.91473,0.72924,1.04724,0.89703,0.65181,0.74482,0.55416,0.77575,0.58638,0.92465,0.00036673,0.00036673,0.00036673
97,2987.64,0.92755,0.71637,1.05415,0.85747,0.66284,0.74195,0.55192,0.78971,0.59545,0.93263,0.000360064,0.000360064,0.000360064
98,3018.19,0.90374,0.7267,1.04264,0.86833,0.65784,0.74824,0.55682,0.74471,0.59231,0.91723,0.000353398,0.000353398,0.000353398
99,3048.64,0.90851,0.71876,1.04759,0.90844,0.64595,0.73868,0.55125,0.79425,0.60879,0.92346,0.000346732,0.000346732,0.000346732
100,3078.65,0.9008,0.71501,1.04527,0.86786,0.64925,0.74183,0.55139,0.77203,0.5978,0.91934,0.000340066,0.000340066,0.000340066
101,3109.34,0.90297,0.71296,1.04286,0.89569,0.66045,0.74769,0.55387,0.80513,0.59717,0.92484,0.0003334,0.0003334,0.0003334
102,3139.61,0.89847,0.71602,1.03965,0.8759,0.67087,0.7484,0.55602,0.78415,0.58114,0.91996,0.000326734,0.000326734,0.000326734
103,3169.45,0.88912,0.70559,1.03279,0.89338,0.66287,0.74915,0.55552,0.78654,0.58266,0.92262,0.000320068,0.000320068,0.000320068
104,3199.41,0.88987,0.69771,1.04374,0.86791,0.66981,0.75307,0.56291,0.77413,0.57483,0.91522,0.000313402,0.000313402,0.000313402
